date,window_start,window_end,window,stride,B,ci_level,alpha_qv,FBM_cov_md,rf_factor,band_type,H_price,H_price_lo,H_price_hi,H_vol,H_vol_lo,H_vol_hi,H_interest,H_interest_lo,H_interest_hi,S_H11,S_H11_lo,S_H11_hi,S_H12,S_H12_lo,S_H12_hi,S_H13,S_H13_lo,S_H13_hi,S_H22,S_H22_lo,S_H22_hi,S_H23,S_H23_lo,S_H23_hi,S_H33,S_H33_lo,S_H33_hi
2018-07-05,2017-06-28,2018-07-05,252,5,100,0.9,0.2,1,0.7,percentile,0.5096239194390797,0.39675287989200536,0.5962935923690456,0.4823622057135553,0.36707035345829425,0.5692756284142038,0.41385348652593473,0.3177793089611497,0.5082586121917785,1.0192478388781594,0.7935057597840107,1.192587184738091,0.991986125152635,0.8221124191059386,1.1190844596017318,0.9234774059650144,0.7552674500442034,1.0468814256394887,0.9647244114271106,0.7341407069165885,1.1385512568284075,0.89621569223949,0.7348955494071554,0.9972796638654607,0.8277069730518695,0.6355586179222994,1.016517224383557
2018-07-12,2017-07-05,2018-07-12,252,5,100,0.9,0.2,1,0.7,percentile,0.5127721408245761,0.3856548768566769,0.5987083781140469,0.48838708264838604,0.3722217619449849,0.5722692547415067,0.413804545778048,0.30263337273139446,0.5069373478806395,1.0255442816491522,0.7713097537133538,1.1974167562280937,1.0011592234729623,0.8264680493970519,1.1189614076670373,0.9265766866026242,0.7820638452600596,1.0668026604380678,0.9767741652967721,0.7444435238899698,1.1445385094830134,0.902191628426434,0.7195530055189867,1.041032187082008,0.827609091556096,0.6052667454627889,1.013874695761279
2018-07-20,2017-07-12,2018-07-20,252,5,100,0.9,0.2,1,0.7,percentile,0.5102162295019826,0.4236418524205013,0.6115793481795778,0.4833388327526132,0.3733180396447151,0.5654141924725943,0.4156104493242322,0.32604977188459655,0.5163106406912279,1.0204324590039653,0.8472837048410026,1.2231586963591556,0.9935550622545959,0.8585564770064756,1.0946996113001886,0.9258266788262148,0.7923109785943863,1.0642367399317274,0.9666776655052264,0.7466360792894302,1.1308283849451886,0.8989492820768454,0.7659148156876858,1.0187848678510725,0.8312208986484644,0.6520995437691931,1.0326212813824558
2018-07-27,2017-07-20,2018-07-27,252,5,100,0.9,0.2,1,0.7,percentile,0.511485479114009,0.4031017136931239,0.6222084160700418,0.48046702089854604,0.38601344574527474,0.5780192650424537,0.4340398967790155,0.33850880271642203,0.525666333459576,1.022970958228018,0.8062034273862478,1.2444168321400837,0.9919525000125551,0.8672052658718491,1.1390276686460534,0.9455253758930244,0.7865834753641806,1.0943951839378088,0.9609340417970921,0.7720268914905495,1.1560385300849074,0.9145069176775615,0.7915821801546107,1.070589265054058,0.868079793558031,0.6770176054328441,1.051332666919152
2018-08-03,2017-07-27,2018-08-03,252,5,100,0.9,0.2,1,0.7,percentile,0.5099070116298816,0.4025109300932909,0.6042198376956964,0.4765887625000018,0.36314556279109667,0.580468445791781,0.40254058511066054,0.29125794617072437,0.4969187697508014,1.0198140232597632,0.8050218601865818,1.2084396753913929,0.9864957741298834,0.7991358329338255,1.1424488763504639,0.9124475967405421,0.7514951231193299,1.0714051530129902,0.9531775250000036,0.7262911255821933,1.160936891583562,0.8791293476106623,0.719288355564306,0.986374357252146,0.8050811702213211,0.5825158923414487,0.9938375395016028
2018-08-10,2017-08-03,2018-08-10,252,5,100,0.9,0.2,1,0.7,percentile,0.5064407772335476,0.42059404371537984,0.6026780073090492,0.4627232772832659,0.3595538488126044,0.5651943488494381,0.3908585487926627,0.2658852658330823,0.4717308962636175,1.0128815544670953,0.8411880874307597,1.2053560146180984,0.9691640545168135,0.8218256862559271,1.1069852723939775,0.8972993260262103,0.7409954124300967,1.0095188179613004,0.9254465545665318,0.7191076976252088,1.1303886976988762,0.8535818260759286,0.6955705622181024,0.9687738789409938,0.7817170975853254,0.5317705316661646,0.943461792527235
2018-08-17,2017-08-10,2018-08-17,252,5,100,0.9,0.2,1,0.7,percentile,0.5081183889509268,0.4030929116935238,0.6121376658737423,0.4639194697733538,0.3699300899211208,0.5519999757386175,0.32711599510793404,0.24108056691380095,0.406359479626447,1.0162367779018535,0.8061858233870476,1.2242753317474846,0.9720378587242806,0.8160578094782821,1.089957657561564,0.8352343840588607,0.7004200014707739,0.9646182495190582,0.9278389395467076,0.7398601798422416,1.103999951477235,0.7910354648812878,0.6476871182773768,0.9189047564793137,0.6542319902158681,0.4821611338276019,0.812718959252894
2018-08-24,2017-08-18,2018-08-24,252,5,100,0.9,0.2,1,0.7,percentile,0.5025885523961873,0.38094972746108235,0.5846933607550456,0.4736534669740264,0.37391555135266047,0.5709055473658283,0.31890745328338455,0.23622413092761235,0.40558318346815203,1.0051771047923745,0.7618994549221647,1.1693867215100913,0.9762420193702137,0.8473776509441451,1.0967810185240405,0.8214960056795718,0.6828945856055872,0.9599894835088316,0.9473069339480528,0.7478311027053209,1.1418110947316567,0.7925609202574109,0.6529563614024393,0.9056783223007099,0.6378149065667691,0.4724482618552247,0.8111663669363041
2018-08-31,2017-08-25,2018-08-31,252,5,100,0.9,0.2,1,0.7,percentile,0.49769616992775256,0.4029152888304685,0.6034102825769954,0.46535177778745346,0.32592289623394455,0.5522366257445869,0.3068090486540822,0.20885341274512026,0.36865258638135534,0.9953923398555051,0.805830577660937,1.2068205651539907,0.9630479477152061,0.772172089016773,1.0827961554559096,0.8045052185818348,0.6634077383673472,0.9393494246706957,0.9307035555749069,0.6518457924678891,1.1044732514891737,0.7721608264415356,0.6033502915457916,0.8662595470913412,0.6136180973081644,0.4177068254902405,0.7373051727627107
2018-09-07,2017-09-01,2018-09-07,252,5,100,0.9,0.2,1,0.7,percentile,0.5000131273392637,0.39826615299634677,0.5815801822388811,0.45937849137021725,0.35877830494940693,0.5664434429599405,0.3007462119348902,0.23687484122572852,0.3865097237772108,1.0000262546785275,0.7965323059926935,1.1631603644777622,0.959391618709481,0.82280422612269,1.1113863628630856,0.8007593392741539,0.6707204096048579,0.9312641235744826,0.9187569827404345,0.7175566098988139,1.132886885919881,0.7601247033051075,0.6221846859501189,0.8942552248214904,0.6014924238697804,0.47374968245145704,0.7730194475544216
